label	text
False	RT @BillZBubb: @TheEconomist Zelensky fled to Poland weeks ago https://t.co/ETCleYHzug
False	"@grouchapato @SkyNews No, this can only be solved by one person.
Let the US vassal Mr. Zelensky sign the capitulation.
He is pushing his people into suffering and he fled to Poland."
False	"RT @archerfikret1: -The elites of Ukraine have already fled the country.
-Zelensky is in NATO bunker in Poland.
-People continue to run out…"
Other	RT @TheLongerGame: Ukrainian politicians trying to flee with suitcases of cash, Ukrainian soldiers abandoning their positions &; equipment.…
True	@nbahhanbahob https://t.co/aFFsoM7Gnt
Other	@POTUS tribes for providing weak defensive weapons.  Of course, we are waiting for more help for Ukraine and President Zelensky, if you want to stay in this region and not have a war in 5 years in Poland ...
Other	"The number of people who have fled Ukraine since Russian troops invaded has surpassed 4 million, according to the UN.

https://t.co/KbDEpLdTkC"
Other	@EricMMatheny Pt 2: Millions of refugees have fled to UK, Poland, Canada, &; other countries. How will they be able to access those donations? Or are these donations going to Zelensky's regime?
Other	RT @GVMNTCHS: @jim_enloe @atakinikata @is_bourbon @hollysbirds @KyivIndependent Yeah, the Russians are creating a buffer zone. The Ukrainia…
Other	@vonderleyen Zelensky has praised Britain's support for Ukraine and castigated Germany and France. Germany has made itself a slave to Russian gas and has partially financed the invasion. Your 5th package is offset by the actions of Germany and France. EU sanctions on Poland haven't helped.
False	@smith58_robert @Sandernista412 Because the US still want to destroy Yemen and Syria. They also want to destroy Ukraine but in a nice way 😂 and air-lift Zelensky out to Poland or his mansion in Miami after its obvious to the world that Ukraine can’t win the war.
False	"RT @LevyLoiseau: Zelensky s’est enfui en Pologne et « se cache dans l’ambassade américaine », affirme un législateur ukrainien ! 
https://t…"
False	"RT @MJf4k: @GAIAFORCETV 🧐
Zelensky fled to Poland and is 'hiding in US embassy,’ Ukrainian lawmaker claims https://t.co/DabylkEWJv"
False	"動画のゼレンスキー大統領の様子ですが、私には薬物中毒による禁断症状が出ているよに見えます。ウクライナの野党議員イリヤ・キバ氏によると、ゼレンスキーはポーランドに逃亡し米国大使館に潜伏していると主張。続く。

自動翻訳
https://t.co/4hk6lqvjOC

自動翻訳
https://t.co/3lSgcOlg7W https://t.co/K5OpYJmsdC"
Other	"@Scott43295197 @nexta_tv Churchill said, ""Give us the tools and we'll finish the job.""  That sounds familiar, a bit like Zelensky.  I have no idea what the restraints are that NATO puts on Poland, but there has to be a way to get those MIGs to Ukraine."
Other	RT @News3LV: The U.N. refugee agency said more than 4 million refugees have now fled Ukraine since Russia launched its war in the largest r…
Other	"Briefing by Russian Defence Ministry on 5 April  https://t.co/uF2Csk1mxx

#Putin #VladimirPutin #Russia #UkraineRussia #Ukraine #Mariupol #Zelensky #Kharkiv #KIEV #Biden #NATO #US #Poland #RussianArmy #UkrainianArmy #Sumy #UNSC #Bucha #RussianMilitary"
False	"RT @richenergyceo: Green screen 😂
Amateur hour theatrics from ‘Brave leader’ Zelensky who in reality has already fled to Poland. What a jok…"
Other	"@Liliyaduma @Alex_Sev89 @BBCWorld If Putin attacks Poland, things change dramatically because Poland is part of NATO.  Putin won't attack Poland because he doesn't want to fight NATO.

Why haven't the women and children been evacuated from Ukraine by now? Surely it was no surprise to Zelensky they would be raped!"
False	@TiwannaRN42 @Zeppy32815542 Zelensky fled to Poland in the first couple of days of the fighting.
False	"RT @CiroBrajer: nekam veliko je tega
Ukrainian President Volodymyr Zelensky ""urgently"" left Kiev for Poland following the Russian military…"
Other	"@Channel4News Poland's position makes sense only if we are willing to go in militarily and help free Ukraine ourselves. We are not...
In the meantime, only Zelensky gets a voice on whether Macron continues to talk to Putin, and Zelensky just thanked Macron for his continuing efforts.
3/"
False	"@isionshyproper I turned on the TV and this creature was doing a full fledged propaganda monologue about Zelensky's heroism.

I understand why he fled, I'm saying that western media is carrying water for him. He's most likely in Poland, or maybe far western Ukraine in a bunker somewhere"
False	@catturd2 Anyone think it's interesting that Zelensky apparently fled to Poland and that Biden is in Poland?
False	RT @Camille_Dyalan: ウクライナの野党議員イリヤ・キバによると、ウクライナのウォロディミル・ゼレンスキー大統領は、先週のウクライナでのロシアの軍事作戦に続いて、「緊急に」キエフを離れてポーランドに向かった。 https://t.co/vgxHz2SB16
True	@RealLeekster @MichaelRapaport https://t.co/nEuTLeBsdM
Other	@trilatus @JustmeAnybody @lapatina_ I will always be grateful for Poland's position on Ukraine and all the effort they've put into helping us through accepting millions of refugees and calling for tougher actions on Russia. Orban hasn't even done 1% for us and Zelensky made sure to say how we feel clearly.
False	The western media has become so cruel it is making dumb Ukrainians and others in the west's bubble believe that somehow Ukraine is gonna win this skirmish which is not even a war yet, and Zelensky who has fled to Poland couldn't care less of innocent lives which are being ended. https://t.co/OFJoZWd5jw
Other	"Somebody should start a “Go Fund Me” account to raise money for a hit man to take out #Putin.  Enough money where even his own mother would kill him for it.

#Ukraine #Russia #Genocide #WaeCrimes #Zelensky #Biden #Poland"
False	@olliecarroll The green screen is a dead giveaway that Zelensky is likely no longer in Ukraine. The rumour is he fled to Poland a few days after Russia invaded and now pretends to be in Ukraine.
False	"“Zelensky fled to Poland and is 'hiding in US embassy,’ Ukrainian lawmaker claims”

""#Zelensky left #Ukraine. Deputies of the Verkhovna Rada said that they could not get to him in Lvov,” he wrote on his Telegram channel. ""He is now in #Poland"".

https://t.co/1vpuneprkL"
False	"Crackhead Bonov from the #Nazi battalion "", who threatened the Chechens and promised to play football with their heads,apparently had fled to #Poland, like his""Führer"" Zelensky did 3 weeks ago.
#RussiaUkraineConflict #RussianUkrainianWar #UkraineRussianWar #Russia #Kiev #mauripol https://t.co/NcyaXpHavy"
Other	The Bucha Atrocity: Who did it and Why? + 11 Reasons the Russians can’t be Guilty https://t.co/kr86P5F7Yt #Bucha #BuchaFalseFlag #Kyiv #Zelensky #BuchaMassacre #Putin #Biden #Poland #Sanctions #Ukraine #Donbass #Moscow #Mariupol https://t.co/HopD0BW8t7
False	@RizoStonks @Ramone48169919 @RT_com @APhilosophae @RealPepeEscobar Zelensky could be in Poland right now acting as if he’s in Ukraine in control of something. The Puppet has been using a # of background screens to make him show up anywhere in Ukraine. He knows he’s only a movie actor, and that’s what he role is.
False	@carlbildt Putin has to do what has to be done and so far, he is succeeding . #Zelensky fled the country to #Poland last night and this heralds a great victory for Putin. Regrettably, your Western media is censored on news from the war in Ukraine
False	@FirstSquawk Zelensky fled to Poland two weeks ago.
False	"RT @bufy68: Global, Zelensky fled ...

Ukrainian MP Ilya Kiva: Zelinski fled to Poland in a hurry and is now seeking asylum at the US Embas…"
Other	Poland and Belarus backing Russia  https://t.co/Zc8Wm43c67
False	"Russia 🇷🇺 is going out of their way to avoid civilian deaths among Ukrainians.

They are paying high price for that. Time to bring the denazification to an end.

Zelensky fled Ukraine to Poland two weeks ago. He will take asylum in Israel 🇮🇱. https://t.co/ETiXBrAmlQ"
False	@Richie3Kelly @rgdran @Reuters Half of Mariupol (key town with most of Azov military) is under Russian control (videos of evacuations from various districts prove some of that), videos of troop movement within town, The Capital Kiev is surrounded and under siege, Zelensky has fled to Poland. It's a catastrophe
False	@lys_chan Zelenski is Neo-nazi puppet who abandoned Ukrainian people and has been hiding in Poland for a month. The majority of the world supports Putin and hates Deep state, who installed Neo-nazi regime in Ukraine in 2014.
Other	#UKRAINE PRES.REFUSED #PEACE INITIATED BY #SCHOLZ FEW DAYS BEFORE #RUSSIA ATTACKED=U RESPONSIBLE f.MANY DEATH+WAR TOO+#EINSTEIN:WORLD BACK #STONEAGE IF WW3+#POLAND SILLY WANT USA #NUCLEAR+GER MOBBERS MULTIPLE MORE SADISTIC TO ME=NO #WAR END YOUR OWN #SINS https://t.co/HYSfo3Nsfg.
Other	@RegSprecher @RegBerlin @Stk_Brandenburg @AndreasBovensc1 @TschenPe @Senat_Hamburg @RegHessen @StM_Klose @ManuelaSchwesig @MpStephanWeil @rlpNews @tobiashans @SachsenDe @MPKretschmer @sms_sachsen @reinerhaseloff @DGuenther_CDUSH @SH_CDU @ltshNews @Land_SH @bodoramelow @thueringende @_FriedrichMerz @Markus_Soeder @n_roettgen @vonderleyen @RegierungBW @WM_BW @jensspahn @rki_de @c_drosten @WHO @DrTedros @WhiteHouse @elonmusk @nytimes @business @EU_Commission @eucopresident @CharlesMichel @EP_President @DavidSassoli @BMG_Bund @BMI_Bund @EmmanuelMacron @sebastiankurz @JoeBiden @AlexHawkeMP @ScottMorrisonMP @karenandrewsmp #UKRAINE PRES.REFUSED #PEACE INITIATED BY #SCHOLZ FEW DAYS BEFORE #RUSSIA ATTACKED=U RESPONSIBLE f.MANY DEATH+WAR TOO+#EINSTEIN:WORLD BACK #STONEAGE IF WW3+#POLAND SILLY WANT USA #NUCLEAR+GER MOBBERS MULTIPLE MORE SADISTIC TO ME=NO #WAR END YOUR OWN #SINS https://t.co/HYSfo3Nsfg.
False	RT @writerware: Zelensky 🇺🇦 fled to Poland 🇵🇱 two weeks ago. https://t.co/dCjzTPlqM3
False	"@RealScottRitter Agree, though I doubt Zelensky will be arrested. He doesn't even seem to be ""in"" Ukraine, maybe the bowels of the U.S. Embassy in Poland? Wherever it is, at some point, he'll probably hop, skip and jump his billionaire self even further. Miami, some say .."
Other	4 million refugees have now fled Ukraine since Russian attack, UN agency says #Refugees https://t.co/4XXNjfCzFq
Other	@pkcph123 @juliaskripkaser @Jbrennydozer Russia gets invaded every 50 years through Poland and ukraine. That's a fact. Poland already has joined NATO. Russia cannot allow Ukraine to join NATO for security reasons as a nation. Zelensky said he wants to join NATO and even started talking crazyhow ukraine should have nukes
False	@MartindaleRedd @TheDairyDealer @punishedmother @jacksonhinklle The War Zone is in Donbas, Zelensky has be green screening Kiev, Talking to various parliaments, and its been suggested that hes Fled to Poland, (that would explain the green-screen). If you actually believe he is in the War Zone, well then, im sure no proof with change that.
True	@GaelUlaidh @CatrionaKing1 @Shellmccabe Just say you support Russia instead of tap dancing around the point. You said zelensky fled to Poland, that’s why I was laughing at you, why would I accept that when it’s lies 😂😂 didn’t know I had to report to you when I do laughing faces at you, grow up 😂😂😂😂😂😂😂😂
False	"@scruffington88 @jacksonhinklle Is that why Zelensky fled to Poland and is begging for negotiations?

They’re winning so why call for a NFZ?"
Other	RT @alihassansahb: More than 3.6 million people have fled Ukraine into neighboring countries since Russia's invasion, the U.N. estimates.…
False	@GloryToTheCPSU Zelensky is puppet. President Putin can not be meeting with a puppet. Joe Biden can meet Zelensky in Poland, where he fled two weeks ago.
False	"RT @null_Nz1: ゼレンスキーはポーランドに逃れ、「米国大使館に隠れている」とウクライナの議員が主張
https://t.co/eivIzSLWRE"
Other	"4 million refugees have now fled Ukraine since Russian attack, UN agency says
https://t.co/cTwutXHzOi https://t.co/TAFX8gf47Q"
Other	@AdamStrzepek @kbb_wagne @vonderleyen @ZelenskyyUa @Europol @Eurojust First ask your friend Zelensky not to buy ALL the gas and oil that he uses in the Ukraine from Putin. Yes, yours is propaganda. And also Poland depends to the same extent on Russian gas as Germany. To sell cheap propaganda in another place.
False	RT @joeywreck: Zelensky has fled Ukraine to Poland. This is not a Marvel movie.
False	"@MaskinJunior @ZelenskyyUa The reason all his pics and vids are indoors, is because he's not in Ukraine, IMO. He also just arrested all of his political opponents. What democracy is he fighting for? There's a reason the MSM (Gov't) wants our support for this man &; it's not democracy
https://t.co/JonqBs8wIL"
Other	"Post-war Ukraine won't be liberal, says Zelensky. 
It is certain, that if the West won't do more to help Ukraine to make Putin to lose power, the new world order will be much less liberal - the Baltic states and Poland cannot afford liberalism either
https://t.co/8p34bUpzZz"
False	Ukrainian politicians trying to flee with suitcases of cash, Ukrainian soldiers abandoning their positions &; equipment. Azov Nazis trying to flee disguised as woman, Zelensky has fled to Poland, captured Azov commanders being walked through streets meanwhile MSM spins it 180°
False	"@dnforca Apparently he's in Poland

https://t.co/XEWo2Od9Nq"
Other	"@RichardGrenell Putin would never dare to invade Ukraine and commit such horrendous crimes, without the green light of the US gov. He believed that Zelensky would leave Ukraine as president Ashraf Ghani fled Afghanistan.
Zelensky made it public that Biden had called on him to flee to Poland."
False	@spectatorindex They're taking this opportunity to send zelensky back into Ukraine from Poland.
Other	@NewstalkFM @PatKennyNT Covid 19 has not even been isolated and the CEO of Pfizer said it was made in a Lab —- and he knows
False	"They labeled us ‘tinfoil-hat conspiracy theorists’ for even suggesting the possibility of microchip implants. Now they’re FDA approved… 😡
Holy crap!#DoNotComplyEVER https://t.co/f0nsQd814F"
Other	@StanleyBigFeet @dankbeebs @TheComedyWife @voices_nz All I would say is the proof is in the pudding. Despite being heavily vaxxed masked and mandated our cases are sky high. The Pfizer CEO said this vax does not work against omicron. Show me evidence that it does please
Other	Its coming out that media companies like @CNN, @BBC to @Bhekishisha got million to drive the false covid narrative. Bhekishisha on @eNCA is now pushing microchip pill. Like some said the devil has no details. @Aljaazera too got bribed.
True	"FactCheck:
Video shows Pfizer CEO speaking about SCHIZOPHRENIA pill, NOT COVID-19 treatment

#FakeNewsAlert #Facts #FactsMatter
https://t.co/yUS9HBumAb"
Other	"@st0ckm0nster @TheTorontoSun PFIZER CEO: Take our shot and we’ll get back to norma
ALSO PFIZER CEO: You’ll need a booster every year because these shots eventually fail, and we’re never getting back to normal
Pfizer CEO: We plan to make $26 BILLION on this booster this year. (Forbes)st for profit https://t.co/DzNNG1gqCI"
Other	@TheDropoutHulu Can’t wait to watch the sequel series CEO of Pfizer
Other	".@washingtonpost Subscriber Exclusive: On Thursday, Mar. 10 @pfizer chair &; CEO @AlbertBourla will join @CapehartJ to discuss his new book, “Moonshot: Inside Pfizer's Nine-Month Race to Make the Impossible Possible"" #PostLive

Learn more &; register here: https://t.co/3nr6ClKTyh https://t.co/RLKR6NJqlW"
False	"What fresh hell is this? Pfizer CEO Albert Bourla Talks About An ""Electronic Pill"" That Contains A Biological Microchip, That Sends Out A Signal As Soon As It Hits Your Stomach, So They Know You Took It!
#Microchip #Pfizer 
#Tyranny 
https://t.co/HWelhmm2xc"
False	@TheDemCoalition So why is he not telling the American people that the new covid pill will have a microchip in it and it will transmit as soon as you swallow it  CEO of Pfizer said this
Other	@emeriticus @JordanSchachtel Replace it with Fauci, Gates, Pfizer CEO and Moderna CEO and watch lib heads explode
False	@RobPPCEasquima1 Pfizer CEO said at WEF conference their Covid pill would have a microchip so they can get it into people for tracking compliance. All part of the social credit system. That’s why governments are so desperate to get everyone in the system
False	"Yeah so mark of the beast ingested? 
Pfizer CEO says FDA approved a digital pill that contains a microchip that transmits information once swallowed"
Other	@boostmobileuser @KEEMSTAR There's no point in that, everyone who believes in the microchip mark of the beast theory is never gonna have their minds changed no matter what. What we need is the anti-viral pill, since everyone is gonna get covid even while vaccinated then you might as well have a cure for it
False	"This is very disturbing 👇
The World Economic Forum, The Great Reset, Davos, New World Order talks about a digital tablet that once swallowed will begin to track you for compliance...
https://t.co/l9j8W6E8ae"
False	"Pfizer CEO says FDA approved a digital pill that contains a microchip that transmits information once swallowed.

The first thing he says after is about cost... 🤔 https://t.co/OXONh9tbFN"
Other	@TheTorontoSun Pfizer will be dissolved one day and it's Burla CEO plus few others indicted and charged for crimes against humanity.
False	"@garyzaroski1 @liz_churchill_ @PierrePoilievre The covid pill will be laced with a microchip.

hydrogels, This Report Details:
• The QR Code is About Your DATA, Your DNA, and Your BODY

• BLOCKCHAINED

• Wallets, Crypto, Central Bank Digital Currency (CBDC), https://t.co/PmWlx0Vekn https://t.co/C02GPeUpZZ"
Other	@chainga1ns @sox_nation_34 @MetsmomL @JohnMcC32142386 Also read this. Pfizer CEO never said they did stop 100% infections, they said they would, They never did because it's impossible. https://t.co/GwlXTdplUo
